TIME,NODEUUID,BLEUUID,RSSI,PACKETID
3:42:38,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
3:43:23,123:231:213:90:88:12,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:44:12,123:231:213:90:88:12,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
3:45:0,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
3:45:49,123:231:213:90:88:12,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:46:37,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:47:24,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
3:48:13,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:49:3,123:231:213:90:88:12,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:49:48,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
3:50:37,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
3:51:26,123:231:213:90:88:12,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:52:14,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:53:4,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:53:59,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:54:38,123:231:213:90:88:12,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
3:55:26,123:231:213:90:88:12,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
3:56:18,123:231:213:90:88:12,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
3:57:3,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
3:57:51,123:231:213:90:88:12,234:210:11:40:111:36,97,5:2:12:4:5:6:42:88
3:58:40,123:231:213:90:88:12,234:210:11:40:111:36,93,5:2:12:4:5:6:42:88
3:59:29,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:0:18,123:231:213:90:88:12,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:1:4,123:231:213:90:88:12,234:210:11:40:111:36,95,5:2:12:4:5:6:42:88
4:1:52,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:2:41,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:3:30,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:4:19,123:231:213:90:88:12,234:210:11:40:111:36,94,5:2:12:4:5:6:42:88
4:5:6,123:231:213:90:88:12,234:210:11:40:111:36,93,5:2:12:4:5:6:42:88
4:5:55,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:6:46,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:7:30,123:231:213:90:88:12,234:210:11:40:111:36,92,5:2:12:4:5:6:42:88
4:8:18,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:9:7,123:231:213:90:88:12,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:10:1,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:10:45,123:231:213:90:88:12,234:210:11:40:111:36,92,5:2:12:4:5:6:42:88
4:11:32,123:231:213:90:88:12,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
4:12:19,123:231:213:90:88:12,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
4:13:10,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:13:57,123:231:213:90:88:12,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:14:47,123:231:213:90:88:12,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:15:34,123:231:213:90:88:12,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:16:20,123:231:213:90:88:12,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:17:9,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:17:57,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:18:57,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:19:39,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:20:24,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:21:13,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:22:2,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:22:49,123:231:213:90:88:12,234:210:11:40:111:36,96,5:2:12:4:5:6:42:88
4:23:57,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:24:24,123:231:213:90:88:12,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
4:25:13,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:26:0,123:231:213:90:88:12,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
